;Vars;Desf_Max_Corrs;Corr_max;Corr_0;Corr_1;Corr_2;Corr_3
0;Ind_Indust1;"[0; 1]";0,509977;0,449300;0,509977;-0,026950;-0,019251
1;Ind_Indust2;"[0; 1]";0,520424;0,498903;0,520424;-0,063817;-0,017200
2;Ind_Indust3;"[0; 1; 21]";0,511288;0,404087;0,511288;0,022177;-0,002869
3;Ind_Indust4;"[0; 1; 21]";0,477734;0,395162;0,477734;0,110830;0,022815
4;Ind_Indust5;"[0; 1; 12; 14; 15]";-0,313223;0,123657;0,144636;-0,258942;-0,211474
,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,
53;Ind_Serv1;"[0; 1]";0,584240;0,523213;0,584240;-0,022317;-0,033067
54;Ind_Serv2;"[0; 1]";0,570900;0,511270;0,570900;-0,036997;-0,055897
55;Ind_Serv3;"[0; 1]";0,562092;0,457678;0,562092;0,095106;0,041142
56;Ind_Serv4;"[0; 1]";0,501738;0,450085;0,501738;-0,081767;-0,083012
57;Ind_Serv5;"[0; 1]";0,653334;0,605005;0,653334;0,004134;-0,034091
,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,
